Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0073430681844793,-0.0240899963415031,0.216409188578357,0,0,0,1.05139109376071,0.00348499733987661,5.59664608948403E-21,-8.26305565804843E-20,0.00365982960162949,-0.000149638202350733,0.00152216475016813,0,0,0,0,0,0,package://pick_ball_mbot/meshes/base_link.STL,0.686274509803922,0,0,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/base_link.STL,,小车模型(活动轮辐)-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_cover,0.0339621470957772,0.172876722995914,0.102900925287299,0,0,0,0.348968668389308,0.00220864018472111,-9.94750925639056E-05,-0.000119883170893649,0.00198390619787086,-0.000357322467893291,0.000935622380947324,0,0,0,0,0,0,package://pick_ball_mbot/meshes/left_cover.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/left_cover.STL,,桨叶左盖板-1,Origin_left_cover_joint2,,left_cover_joint,fixed,-0.00070327,-0.2264,-0.072965,0,0,0,base_link,0,0,0,,,,,,,,,,,,
right_cover,-0.00573994781975207,-0.0426051719539319,0.00250436597775372,0,0,0,0.109962415450793,0.00015179667895952,-5.32196527116854E-05,-3.8888262975556E-09,0.000384457111161325,4.02644466212917E-08,0.000535795937644261,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_cover.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_cover.STL,,桨叶右盖板-1,Origin_right_cover_joint4,,right_cover_joint,fixed,-0.065843,-0.0023183,0.047035,3.1416,-1.5708,0,base_link,0,0,0,,,,,,,,,,,,
rear_collector,-0.000326437311550335,-0.00719503141930298,0.0162130574516879,0,0,0,0.0869561531734891,8.91551923460167E-05,9.59115568056101E-07,8.3030805905887E-07,0.000171888387652561,-3.6277346981146E-05,0.000196700391316864,0,0,0,0,0,0,package://pick_ball_mbot/meshes/rear_collector.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/rear_collector.STL,,尾部收集器-1,Origin_rear_collector_joint3,,rear_collector_joint,fixed,-0.0073431,-0.3164,-0.0089653,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
middle_transport,0.000317501851703324,-0.00221740273164433,0.0657117561421356,0,0,0,0.0942491276999206,0.000413364094335781,5.42603682492851E-08,1.96250347724689E-06,0.000558336345208193,7.0563176338099E-05,0.000226004346785157,0,0,0,0,0,0,package://pick_ball_mbot/meshes/middle_transport.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/middle_transport.STL,,中间传送板-1,Origin_middle_transport_joint3,,middle_transport_joint,fixed,-0.010843,-0.15415,0.037201,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
collector,-0.0176597255220184,-0.0449868031021791,0.000267587009012863,0,0,0,0.192616334199706,0.00137500118894815,3.73221086735074E-05,3.60601238693752E-06,0.00158544226406398,2.1181795998119E-06,0.000798620814045366,0,0,0,0,0,0,package://pick_ball_mbot/meshes/collector.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/collector.STL,,收集器（原封）-1,Origin_collector_joint3,,collector_joint,fixed,-0.0073431,-0.4104,-0.061965,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
right_support_rod,-0.00137647829361359,0.0385500804376881,0,0,0,0,0.00511240249563707,4.56403013951615E-06,-2.51362154296087E-07,2.12244832904835E-21,1.11745762780574E-07,8.80235687902266E-23,4.55443005833591E-06,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_support_rod.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_support_rod.STL,,中间传送板支撑杆-1,Origin_right_support_rod_joint3,Axis_right_support_rod_joint,right_support_rod_joint,fixed,-0.0392756380929201,-0.154282545794808,-0.0579653445088367,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
left_support_rod,-0.00137647829365084,0.0385500804376881,0,0,0,0,0.00511240249563706,4.56403013951614E-06,-2.51362154299168E-07,-1.10897694624677E-18,1.11745762781719E-07,1.85660035477067E-21,4.55443005833705E-06,0,0,0,0,0,0,package://pick_ball_mbot/meshes/left_support_rod.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/left_support_rod.STL,,中间传送板支撑杆-2,Origin_left_support_rod_joint3,,left_support_rod_joint,fixed,0.024614,-0.15428,-0.057965,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
front_wheel,-6.93889390390723E-18,0,-0.00734306818449355,0,0,0,0.196638567373492,0.00122441738983552,-1.35525271560688E-20,-2.73918548789853E-20,0.00122441738983552,1.53119568483981E-19,9.56574247977301E-05,0,0,0,0,0,0,package://pick_ball_mbot/meshes/front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/front_wheel.STL,,小车轮辐-1,Origin_front_wheel_joint3,front_axis,front_wheel_joint,continuous,0,-0.1424,-0.040965,1.5708,1.3794,1.5708,base_link,0,0,1,,,,,,,,,,,,
right_wheel,-1.11022302462516E-16,-1.40859546249317E-15,-0.00734306818449256,0,0,0,0.196638567373492,0.00122441738983552,-2.57298168502123E-37,-4.18959262788251E-18,0.00122441738983552,-2.9387358770557E-36,9.56574247977301E-05,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://pick_ball_mbot/meshes/right_wheel.STL,,小车轮辐-2,Origin_right_wheel_joint3,rear_axis,right_wheel_joint,continuous,0,-0.28437,-0.041059,1.5708,0,1.5708,base_link,0,0,1,,,,,,,,,,,,
